,Maker,Model,Description,Name,Year,City,Year2,Color,Power,Motor,Chasis,Kilometers,Fuel,Price,Link,largo,ancho,alto,batalla,pesomax,numpuertas,numplazas,cilindrada,numcilindros,velmax,consurb,conscarr,consmed,emisiones
0,RENAULT,Captur,TCe eco2 Energy Zen 90,RENAULT Captur TCe eco2 Energy Zen 90,2016,Sevilla,01/2016,Naranja,90,Manual,Todo Terreno,88.780 km,Gasolina,13.850 €,/coches-segunda-mano/renault-captur-ocasion/captur-tce-eco2-energy-zen-90-ref7005444,Largo 4.122 mm,Ancho 1.778 mm,Alto 1.566 mm,(mm)2.606,(kg)1.658,puertas5,plazas5,(cm3)898,cilindros3,(km/h)171,"Urbano (l/100 km)6,00","Carretera (l/100 km)4,30","Medio (l/100 km)4,90",CO2 (g/km)113
1,DACIA,Duster,1.5dCi Ambiance 4x4 110,DACIA Duster 1.5dCi Ambiance 4x4 110,2017,Cáceres,08/2017,Blanco,110,Manual,Todo Terreno,158.606 km,Diesel,13.900 €,/coches-segunda-mano/dacia-duster-ocasion/duster-1-5dci-ambiance-4x4-110-1-ref6899404,Largo 4.315 mm,Ancho 1.822 mm,Alto 1.625 mm,(mm)2.673,(kg)1.875,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)168,"Urbano (l/100 km)5,70","Carretera (l/100 km)4,90","Medio (l/100 km)5,10",CO2 (g/km)123
2,VOLKSWAGEN,Golf,1.6TDI CR BMT Advance 110,VOLKSWAGEN Golf 1.6TDI CR BMT Advance 110,2015,Cádiz,01/2015,Azul,110,Manual,Berlina,148.000 km,Diesel,13.990 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-1-6tdi-cr-bmt-advance-110-1-ref7096804,Largo 4.255 mm,Ancho 1.799 mm,Alto 1.452 mm,(mm)2.637,(kg)1.800,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)195,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,50","Medio (l/100 km)3,80",CO2 (g/km)103
3,OPEL,Corsa,1.4 Turbo S&S Selective 100 (4.75),OPEL Corsa 1.4 Turbo S&S Selective 100 (4.75),2018,Madrid,01/2018,Blanco,100,Manual,Berlina,76.000 km,Gasolina,11.990 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-turbo-s-s-selective-100-4-75-1-ref6878788,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.695,puertas5,plazas5,(cm3)1.364,cilindros4,(km/h)185,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,50","Medio (l/100 km)5,30",CO2 (g/km)128
4,VOLKSWAGEN,Polo,1.4 TDI BMT Sport 66kW,VOLKSWAGEN Polo 1.4 TDI BMT Sport 66kW,2015,Granada,03/2015,Negro,90,Manual,Berlina,107.616 km,Diesel,11.800 €,/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-4-tdi-bmt-sport-90-ref7190961,Largo 3.972 mm,Ancho 1.682 mm,Alto 1.453 mm,(mm)2.470,(kg)1.670,puertas3,plazas5,(cm3)1.422,cilindros3,(km/h)184,"Urbano (l/100 km)4,00","Carretera (l/100 km)3,10","Medio (l/100 km)3,40",CO2 (g/km)95
5,VOLKSWAGEN,Golf,Variant 1.6TDI CR BMT Advance 110,VOLKSWAGEN Golf Variant 1.6TDI CR BMT Advance 110,2014,Granada,04/2014,Rojo,110,Manual,Stationwagon,140.993 km,Diesel,11.250 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-variant-1-6tdi-cr-bmt-advance-105-ref7196692,Largo 4.562 mm,Ancho 1.799 mm,Alto 1.481 mm,(mm)2.635,(kg)1.900,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)196,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,60","Medio (l/100 km)4,00",CO2 (g/km)103
6,FORD,B-Max,1.4 Ambiente,FORD B-Max 1.4 Ambiente,2015,Almería,01/2015,BLANCO,90,Manual,Monovolumen,56.917 km,Gasolina,10.990 €,/coches-segunda-mano/ford-b-max-ocasion/b-max-1-4-ambiente-ref7157757,Largo 4.077 mm,Ancho 1.751 mm,Alto 1.604 mm,(mm)2.489,(kg)1.745,puertas5,plazas5,(cm3)1.388,cilindros4,(km/h)171,"Urbano (l/100 km)7,90","Carretera (l/100 km)4,90","Medio (l/100 km)6,00",CO2 (g/km)139
7,KIA,Cee´d,Pro_Cee´d 1.0 T-GDI Eco-D. Tech 120,KIA Cee´d Pro_Cee´d 1.0 T-GDI Eco-D. Tech 120,2016,Granada,02/2016,Blanco,120,Manual,Berlina,151.745 km,Gasolina,10.750 €,/coches-segunda-mano/kia-cee-d-ocasion/pro-cee-d-1-0-t-gdi-eco-d-tech-120-ref7193980,Largo 4.310 mm,Ancho 1.780 mm,Alto 1.430 mm,(mm)2.650,(kg)1.820,puertas3,plazas5,(cm3)998,cilindros3,(km/h)190,"Urbano (l/100 km)6,20","Carretera (l/100 km)4,20","Medio (l/100 km)4,90",CO2 (g/km)115
8,NISSAN,Pulsar,1.2 DIG-T Tekna XTronic,NISSAN Pulsar 1.2 DIG-T Tekna XTronic,2016,Vizcaya,08/2016,Marrón,115,Automático,Berlina,44.300 km,Gasolina,15.099 €,/coches-segunda-mano/nissan-pulsar-ocasion/pulsar-1-2-dig-t-tekna-xtronic-ref6338860,Largo 4.387 mm,Ancho 1.768 mm,Alto 1.520 mm,(mm)2.700,(kg)1.750,puertas5,plazas5,(cm3)1.197,cilindros4,(km/h)185,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,40","Medio (l/100 km)5,10",CO2 (g/km)119
9,RENAULT,Mégane,1.5dCi Energy Business 81kW,RENAULT Mégane 1.5dCi Energy Business 81kW,2018,Salamanca,08/2018,Blanco,110,Manual,Berlina,156.000 km,Diesel,13.500 €,/coches-segunda-mano/renault-megane-ocasion/megane-1-5dci-energy-business-110-ref7062952,Largo 4.359 mm,Ancho 1.814 mm,Alto 1.438 mm,(mm)2.670,(kg)1.848,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)187,"Urbano (l/100 km)4,20","Carretera (l/100 km)3,40","Medio (l/100 km)3,70",CO2 (g/km)95
10,BMW,Serie 1,116d,BMW Serie 1 116d,2014,Málaga,05/2014,Blanco,116,Manual,Berlina,95.000 km,Diesel,15.500 €,/coches-segunda-mano/bmw-serie-1-ocasion/116d-2-ref7084216,Largo 4.324 mm,Ancho 1.765 mm,Alto 1.421 mm,(mm)2.690,(kg)1.840,puertas5,plazas5,(cm3)1.995,cilindros4,(km/h)200,"Urbano (l/100 km)5,30","Carretera (l/100 km)3,80","Medio (l/100 km)4,30",CO2 (g/km)109
11,NISSAN,Qashqai,1.5dCi Tekna 4x2 17´´,NISSAN Qashqai 1.5dCi Tekna 4x2 17´´,2015,Vizcaya,06/2015,"Blanco
                     / Metalizado",110,Manual,Todo Terreno,158.000 km,Diesel,15.999 €,/coches-segunda-mano/nissan-qashqai-ocasion/qashqai-1-5dci-tekna-4x2-17-ref6294826,Largo 4.380 mm,Ancho 1.806 mm,Alto 1.590 mm,(mm)2.646,(kg)1.910,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)182,"Urbano (l/100 km)4,20","Carretera (l/100 km)3,60","Medio (l/100 km)3,80",CO2 (g/km)99
12,CITROEN,C4,Grand Picasso 1.2 PT. S&S Seduction,CITROEN C4 Grand Picasso 1.2 PT. S&S Seduction,2015,Madrid,02/2015,Blanco,130,Manual,Monovolumen,109.000 km,Gasolina,13.950 €,/coches-segunda-mano/citroen-c4-ocasion/c4-grand-picasso-1-2-pt-s-s-seduction-ref7009002,Largo 4.428 mm,Ancho 1.826 mm,Alto 1.610 mm,(mm)2.840,(kg)1.905,puertas5,plazas7,(cm3)1.199,cilindros3,(km/h)201,"Urbano (l/100 km)6,10","Carretera (l/100 km)4,30","Medio (l/100 km)5,00",CO2 (g/km)115
13,OPEL,Insignia,1.6CDTI S&S Business 120,OPEL Insignia 1.6CDTI S&S Business 120,2016,Ciudad Real,07/2016,Plata,120,Manual,Berlina,130.000 km,Diesel,10.990 €,/coches-segunda-mano/opel-insignia-ocasion/insignia-1-6cdti-s-s-business-120-ref7011638,Largo 4.842 mm,Ancho 1.856 mm,Alto 1.488 mm,(mm)2.737,(kg)2.300,puertas4,plazas5,(cm3)1.598,cilindros4,(km/h)195,"Urbano (l/100 km)4,70","Carretera (l/100 km)3,50","Medio (l/100 km)3,90",CO2 (g/km)104
14,DACIA,Sandero,1.5dCi Stepway Ambiance 66kW,DACIA Sandero 1.5dCi Stepway Ambiance 66kW,2017,Barcelona,04/2017,Blanco,90,Manual,Berlina,60.000 km,Diesel,10.999 €,/coches-segunda-mano/dacia-sandero-ocasion/sandero-1-5dci-stepway-90-2-ref7022098,Largo 4.089 mm,Ancho 1.761 mm,Alto 1.555 mm,(mm)2.589,(kg)1.600,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)167,"Urbano (l/100 km)3,80","Carretera (l/100 km)3,80","Medio (l/100 km)3,80",CO2 (g/km)98
15,VOLKSWAGEN,Polo,1.0 Edition 55kW,VOLKSWAGEN Polo 1.0 Edition 55kW,2018,Madrid,06/2018,Blanco,75,Manual,Berlina,35.911 km,Gasolina,13.480 €,/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-0-edition-75-ref7145126,Largo 4.053 mm,Ancho 1.751 mm,Alto 1.461 mm,(mm)2.548,(kg)1.610,puertas5,plazas5,(cm3)999,cilindros3,(km/h)164,"Urbano (l/100 km)6,00","Carretera (l/100 km)4,10","Medio (l/100 km)4,80",CO2 (g/km)110
16,DS,3,1.6BlueHDi S&S Desire 100,DS DS3 1.6BlueHDi S&S Desire 100,2017,Madrid,01/2017,Gris,99,Manual,Berlina,76.000 km,Diesel,13.700 €,/coches-segunda-mano/ds-ds3-ocasion/ds3-1-6bluehdi-desire-100-1-ref7141390,Largo 3.948 mm,Ancho 1.715 mm,Alto 1.458 mm,(mm)2.464,(kg)1.633,puertas3,plazas5,(cm3)1.560,cilindros4,(km/h)189,"Urbano (l/100 km)3,80","Carretera (l/100 km)3,20","Medio (l/100 km)3,40",CO2 (g/km)87
17,VOLKSWAGEN,Polo,1.0 Edition 55kW,VOLKSWAGEN Polo 1.0 Edition 55kW,2019,Cádiz,01/2019,Negro,75,Manual,Berlina,80.000 km,Gasolina,13.990 €,/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-0-edition-75-ref7096798,Largo 4.053 mm,Ancho 1.751 mm,Alto 1.461 mm,(mm)2.548,(kg)1.610,puertas5,plazas5,(cm3)999,cilindros3,(km/h)164,"Urbano (l/100 km)6,00","Carretera (l/100 km)4,10","Medio (l/100 km)4,80",CO2 (g/km)110
18,FORD,C-Max,1.0 Ecoboost Auto-S&S Titanium 125,FORD C-Max 1.0 Ecoboost Auto-S&S Titanium 125,2016,Granada,02/2016,-,125,Manual,Monovolumen,58.499 km,Gasolina,14.910 €,/coches-segunda-mano/ford-c-max-ocasion/c-max-1-0-ecoboost-auto-s-s-titanium-125-ref6785054,Largo 4.379 mm,Ancho 1.828 mm,Alto 1.610 mm,(mm)2.648,(kg)1.900,puertas5,plazas5,(cm3)998,cilindros3,(km/h)187,"Urbano (l/100 km)6,20","Carretera (l/100 km)4,50","Medio (l/100 km)5,10",CO2 (g/km)117
19,DS,3,1.2 PureTech S&S Performance Line 110,DS DS3 1.2 PureTech S&S Performance Line 110,2017,Sevilla,05/2017,Blanco,110,Manual,Berlina,31.125 km,Gasolina,13.490 €,/coches-segunda-mano/ds-ds3-ocasion/ds3-1-2-puretech-s-s-performance-line-110-ref6892421,Largo 3.948 mm,Ancho 1.715 mm,Alto 1.458 mm,(mm)2.464,(kg)1.578,puertas3,plazas5,(cm3)1.199,cilindros3,(km/h)190,"Urbano (l/100 km)5,30","Carretera (l/100 km)3,80","Medio (l/100 km)4,30",CO2 (g/km)100
20,SEAT,Ibiza,1.6TDI CR S&S Reference Plus 80,SEAT Ibiza 1.6TDI CR S&S Reference Plus 80,2017,Sevilla,12/2017,Azul,80,Manual,Berlina,99.500 km,Diesel,14.990 €,/coches-segunda-mano/seat-ibiza-ocasion/ibiza-1-6tdi-cr-s-s-reference-plus-80-ref6057361,Largo 4.059 mm,Ancho 1.780 mm,Alto 1.444 mm,(mm)2.564,(kg)1.750,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)172,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,40","Medio (l/100 km)3,80",CO2 (g/km)99
21,RENAULT,Kadjar,1.2 TCe Energy Zen 97kW,RENAULT Kadjar 1.2 TCe Energy Zen 97kW,2017,Madrid,11/2017,Negro,130,Manual,Todo Terreno,122.874 km,Gasolina,15.890 €,/coches-segunda-mano/renault-kadjar-ocasion/kadjar-1-2-tce-energy-zen-ref7058689,Largo 4.449 mm,Ancho 1.836 mm,Alto 1.607 mm,(mm)2.646,(kg)1.853,puertas5,plazas5,(cm3)1.197,cilindros4,(km/h)192,"Urbano (l/100 km)6,80","Carretera (l/100 km)4,90","Medio (l/100 km)5,60",CO2 (g/km)126
22,BMW,Serie 3,318d,BMW Serie 3 318d,2015,Navarra,04/2015,Negro,150,Manual,Berlina,149.755 km,Diesel,15.490 €,/coches-segunda-mano/bmw-serie-3-ocasion/318d-7-ref7049097,Largo 4.633 mm,Ancho 1.811 mm,Alto 1.429 mm,(mm)2.810,(kg)2.045,puertas4,plazas5,(cm3)1.995,cilindros4,(km/h)215,"Urbano (l/100 km)5,30","Carretera (l/100 km)4,00","Medio (l/100 km)4,50",CO2 (g/km)118
23,CITROEN,C3,1.2 PureTech S&S Feel Pack 83,CITROEN C3 1.2 PureTech S&S Feel Pack 83,2022,Barcelona,02/2022,Gris Plata,83,Manual,Berlina,1 km,Gasolina,15.950 €,/coches-km0/km-0/citroen-c3-km0/c3-1-2-puretech-s-s-feel-pack-83-ref7027381,Largo 3.996 mm,Ancho 1.749 mm,Alto 1.474 mm,(mm)2.539,(kg)1.550,puertas5,plazas5,(cm3)1.199,cilindros3,(km/h)168,"Urbano (l/100 km)5,70","Carretera (l/100 km)4,10","Medio (l/100 km)4,70",CO2 (g/km)97
24,SEAT,Ibiza,1.0 TGI S&S Reference 90,SEAT Ibiza 1.0 TGI S&S Reference 90,2019,Madrid,09/2019,Blanco,90,Manual,Berlina,53.260 km,Gasolina/gas,11.350 €,/coches-segunda-mano/seat-ibiza-ocasion/ibiza-1-0-tgi-s-s-reference-plus-90-ref7155781,Largo 4.059 mm,Ancho 1.780 mm,Alto 1.444 mm,(mm)2.564,(kg)1.690,puertas5,plazas5,(cm3)999,cilindros3,(km/h)184,"Urbano (l/100 km)6,20","Carretera (l/100 km)4,30","Medio (l/100 km)5,00",CO2 (g/km)89
25,FORD,Fiesta,1.5TDCi Trend 85,FORD Fiesta 1.5TDCi Trend 85,2018,Madrid,10/2018,Azul Báltico (sólido),85,Manual,Berlina,71.762 km,Diesel,13.490 €,/coches-segunda-mano/ford-fiesta-ocasion/fiesta-1-5tdci-trend-85-1-ref6233753,Largo 4.040 mm,Ancho 1.735 mm,Alto 1.476 mm,(mm)2.493,(kg)1.675,puertas5,plazas5,(cm3)1.499,cilindros4,(km/h)175,"Urbano (l/100 km)4,30","Carretera (l/100 km)3,20","Medio (l/100 km)3,50",CO2 (g/km)92
26,VOLKSWAGEN,Golf,Sportsvan 2.0TDI CR Advance 110kW,VOLKSWAGEN Golf Sportsvan 2.0TDI CR Advance 110kW,2015,Navarra,11/2015,Gris,150,Manual,Monovolumen,124.000 km,Diesel,15.250 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-sportsvan-2-0tdi-cr-bmt-advance-ref7026245,Largo 4.338 mm,Ancho 1.807 mm,Alto 1.578 mm,(mm)2.685,(kg)1.974,puertas5,plazas5,(cm3)1.968,cilindros4,(km/h)212,"Urbano (l/100 km)5,10","Carretera (l/100 km)3,90","Medio (l/100 km)4,30",CO2 (g/km)113
27,TOYOTA,Auris,Touring Sports hybrid Advance,TOYOTA Auris Touring Sports hybrid Advance,2015,Albacete,02/2015,Blanco,136,Automático,Stationwagon,243.000 km,Gasolina y corriente eléctrica,9.999 €,/coches-segunda-mano/toyota-auris-ocasion/auris-touring-sports-hybrid-advance-ref7177885,Largo 4.560 mm,Ancho 1.760 mm,Alto 1.476 mm,(mm)2.600,(kg)1.815,puertas5,plazas5,(cm3)1.798,cilindros4,(km/h)175,"Urbano (l/100 km)5,10","Carretera (l/100 km)3,10","Medio (l/100 km)4,00",CO2 (g/km)92
28,MAZDA,Mazda3,2.2 Style Comfort+Navegador,MAZDA Mazda3 2.2 Style Comfort+Navegador,2014,Alicante,03/2014,Blanco,150,Automático,Berlina,80.907 km,Diesel,15.950 €,/coches-segunda-mano/mazda-mazda3-ocasion/mazda3-2-2-style-comfort-navegador-ref7109773,Largo 4.460 mm,Ancho 1.795 mm,Alto 1.450 mm,(mm)2.700,(kg)1.910,puertas5,plazas5,(cm3)2.191,cilindros4,(km/h)210,"Urbano (l/100 km)4,90","Carretera (l/100 km)3,60","Medio (l/100 km)4,10",CO2 (g/km)107
29,FIAT,500,1.2 Lounge,FIAT 500 1.2 Lounge,2017,Madrid,08/2017,Blanco,69,Manual,Berlina,65.979 km,Gasolina,11.500 €,/coches-segunda-mano/fiat-500-ocasion/500-1-2-lounge-1-ref7130470,Largo 3.571 mm,Ancho 1.627 mm,Alto 1.488 mm,(mm)2.300,(kg)1.305,puertas3,plazas4,(cm3)1.242,cilindros4,(km/h)160,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)115
30,VOLKSWAGEN,Golf,Variant 1.6TDI CR BMT Business 110,VOLKSWAGEN Golf Variant 1.6TDI CR BMT Business 110,2017,Málaga,05/2017,CLARO,110,Manual,Stationwagon,100.020 km,Diesel,14.500 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-variant-1-6tdi-cr-bmt-business-110-ref7192598,Largo 4.562 mm,Ancho 1.799 mm,Alto 1.481 mm,(mm)2.635,(kg)1.900,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)196,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,60","Medio (l/100 km)4,00",CO2 (g/km)103
31,SKODA,Octavia,Combi 1.6TDI CR Ambition 110,SKODA Octavia Combi 1.6TDI CR Ambition 110,2016,Sevilla,10/2016,"Azul
                     / Metalizado",110,Manual,Stationwagon,159.336 km,Diesel,13.500 €,/coches-segunda-mano/skoda-octavia-ocasion/octavia-combi-1-6tdi-cr-ambition-110-ref5946117,Largo 4.659 mm,Ancho 1.814 mm,Alto 1.465 mm,(mm)2.686,(kg)1.897,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)194,"Urbano (l/100 km)4,40","Carretera (l/100 km)3,40","Medio (l/100 km)3,80",CO2 (g/km)99
32,SMART,Fortwo,Coupé 66 Aut.,SMART Fortwo Coupé 66 Aut.,2018,Madrid,01/2018,Azul,90,Automático,Berlina,35.719 km,Gasolina,13.599 €,/coches-segunda-mano/smart-fortwo-ocasion/fortwo-coupe-66-aut-ref7089313,Largo 2.695 mm,Ancho 1.663 mm,Alto 1.555 mm,(mm)1.873,(kg)1.170,puertas3,plazas2,(cm3)898,cilindros3,(km/h)155,"Urbano (l/100 km)6,30","Carretera (l/100 km)4,60","Medio (l/100 km)5,20",CO2 (g/km)118
33,FIAT,500,1.2 Lounge,FIAT 500 1.2 Lounge,2015,Valencia,04/2015,Blanco,69,Manual,Berlina,24.392 km,Gasolina,10.300 €,/coches-segunda-mano/fiat-500-ocasion/500-1-2-lounge-ref7183485,Largo 3.546 mm,Ancho 1.627 mm,Alto 1.488 mm,(mm)2.300,(kg)1.305,puertas3,plazas4,(cm3)1.242,cilindros4,(km/h)160,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)117
34,RENAULT,Mégane,S.T. 1.5dCi Limited,RENAULT Mégane S.T. 1.5dCi Limited,2015,Valencia,05/2015,Rojo,95,Manual,Stationwagon,96.145 km,Diesel,10.800 €,/coches-segunda-mano/renault-megane-ocasion/megane-s-t-1-5dci-limited-ref6506201,Largo 4.559 mm,Ancho 1.804 mm,Alto 1.507 mm,(mm)2.703,(kg)1.857,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)190,"Urbano (l/100 km)4,90","Carretera (l/100 km)3,50","Medio (l/100 km)4,10",CO2 (g/km)106
35,FIAT,Punto,1.2 S&S Pop 51kW,FIAT Punto 1.2 S&S Pop 51kW,2014,Pontevedra,01/2014,Negro,69,Manual,Berlina,92.966 km,Gasolina,6.900 €,/coches-segunda-mano/fiat-punto-ocasion/punto-1-2-s-s-pop-69-1-ref7194457,Largo 4.065 mm,Ancho 1.687 mm,Alto 1.490 mm,(mm)2.510,(kg)1.530,puertas5,plazas5,(cm3)1.242,cilindros4,(km/h)156,"Urbano (l/100 km)6,60","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)119
36,CITROEN,C3 Aircross,Puretech S&S Shine 110,CITROEN C3 Aircross Puretech S&S Shine 110,2018,Córdoba,11/2018,Blanco,110,Manual,Todo Terreno,68.368 km,Gasolina,15.300 €,/coches-segunda-mano/citroen-c3-aircross-ocasion/c3-aircross-puretech-s-s-shine-110-ref6895081,Largo 4.154 mm,Ancho 1.824 mm,Alto 1.597 mm,(mm)2.604,(kg)1.780,puertas5,plazas5,(cm3)1.199,cilindros3,(km/h)185,"Urbano (l/100 km)5,90","Carretera (l/100 km)4,60","Medio (l/100 km)5,00",CO2 (g/km)110
37,CITROEN,C3,1.2 PureTech Feel 68,CITROEN C3 1.2 PureTech Feel 68,2017,Córdoba,04/2017,Gris Plata,68,Manual,Berlina,14.839 km,Gasolina,12.350 €,/coches-segunda-mano/citroen-c3-ocasion/c3-1-2-puretech-feel-68-ref7060441,Largo 3.996 mm,Ancho 1.749 mm,Alto 1.474 mm,(mm)2.539,(kg)1.510,puertas5,plazas5,(cm3)1.199,cilindros3,(km/h)164,"Urbano (l/100 km)5,70","Carretera (l/100 km)4,10","Medio (l/100 km)4,70",CO2 (g/km)113
38,FORD,C-Max,1.0 Ecoboost Auto-S&S Titanium 125,FORD C-Max 1.0 Ecoboost Auto-S&S Titanium 125,2014,Pontevedra,05/2014,Blanco,125,Manual,Monovolumen,79.855 km,Gasolina,10.750 €,/coches-segunda-mano/ford-c-max-ocasion/c-max-1-0-ecoboost-auto-s-s-titanium125-ref7155325,Largo 4.380 mm,Ancho 1.828 mm,Alto 1.626 mm,(mm)2.650,(kg)1.860,puertas5,plazas5,(cm3)999,cilindros3,(km/h)187,"Urbano (l/100 km)6,30","Carretera (l/100 km)4,50","Medio (l/100 km)5,10",CO2 (g/km)117
39,KIA,Carens,1.6 GDi Concept,KIA Carens 1.6 GDi Concept,2014,Murcia,06/2014,Blanco,135,Manual,Monovolumen,144.206 km,Gasolina,10.950 €,/coches-segunda-mano/kia-carens-ocasion/carens-1-6-gdi-concept-ref7071861,Largo 4.525 mm,Ancho 1.805 mm,Alto 1.610 mm,(mm)2.750,(kg)2.000,puertas5,plazas5,(cm3)1.591,cilindros4,(km/h)185,"Urbano (l/100 km)8,30","Carretera (l/100 km)5,40","Medio (l/100 km)6,50",CO2 (g/km)150
40,OPEL,Mokka,1.4T S&S Selective 4x2,OPEL Mokka 1.4T S&S Selective 4x2,2016,Alicante,06/2016,Azul,140,Manual,Todo Terreno,93.699 km,Gasolina,13.500 €,/coches-segunda-mano/opel-mokka-ocasion/mokka-1-4t-s-s-selective-4x2-ref6909177,Largo 4.278 mm,Ancho 1.777 mm,Alto 1.658 mm,(mm)2.555,(kg)1.828,puertas5,plazas5,(cm3)1.364,cilindros4,(km/h)195,"Urbano (l/100 km)7,40","Carretera (l/100 km)5,00","Medio (l/100 km)5,90",CO2 (g/km)139
41,OPEL,Astra,1.4T S/S Dynamic 125,OPEL Astra 1.4T S/S Dynamic 125,2017,Alicante,11/2017,Blanco,125,Manual,Berlina,64.158 km,Gasolina,14.250 €,/coches-segunda-mano/opel-astra-ocasion/astra-1-4t-s-s-dynamic-125-ref7092357,Largo 4.370 mm,Ancho 1.809 mm,Alto 1.485 mm,(mm)2.662,(kg)1.778,puertas5,plazas5,(cm3)1.399,cilindros4,(km/h)205,"Urbano (l/100 km)6,30","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)117
42,RENAULT,Clio,TCe Zen 67kW,RENAULT Clio TCe Zen 67kW,2019,Madrid,03/2019,Blanco,90,Manual,Berlina,23.303 km,Gasolina,15.460 €,/coches-segunda-mano/renault-clio-ocasion/clio-blue-dci-zen-63kw-ref7020193,Largo 4.050 mm,Ancho 1.798 mm,Alto 1.440 mm,(mm)2.583,(kg)1.603,puertas5,plazas5,(cm3)999,cilindros3,(km/h)180,"Urbano (l/100 km)0,00","Carretera (l/100 km)0,00","Medio (l/100 km)0,00",CO2 (g/km)-
43,FIAT,500,1.2 Lounge,FIAT 500 1.2 Lounge,2017,Barcelona,08/2017,Blanco,69,Manual,Berlina,93.189 km,Gasolina,10.700 €,/coches-segunda-mano/fiat-500-ocasion/500-1-2-lounge-1-ref7130569,Largo 3.571 mm,Ancho 1.627 mm,Alto 1.488 mm,(mm)2.300,(kg)1.305,puertas3,plazas4,(cm3)1.242,cilindros4,(km/h)160,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)115
44,RENAULT,Talisman,S.T. 1.6dCi Energy Intens 96kW,RENAULT Talisman S.T. 1.6dCi Energy Intens 96kW,2017,Barcelona,10/2017,Azul,130,Manual,Stationwagon,104.947 km,Diesel,14.900 €,/coches-segunda-mano/renault-talisman-ocasion/talisman-s-t-1-6dci-energy-intens-130-ref7055285,Largo 4.849 mm,Ancho 1.868 mm,Alto 1.456 mm,(mm)2.809,(kg)2.079,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)200,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,70","Medio (l/100 km)4,00",CO2 (g/km)106
45,SKODA,Fabia,1.4TDI Ambition 66kW,SKODA Fabia 1.4TDI Ambition 66kW,2016,Málaga,08/2016,Blanco,90,Manual,Berlina,97.159 km,Diesel,10.950 €,/coches-segunda-mano/skoda-fabia-ocasion/fabia-1-4tdi-ambition-90-ref7186509,Largo 3.992 mm,Ancho 1.732 mm,Alto 1.467 mm,(mm)2.470,(kg)1.611,puertas5,plazas5,(cm3)1.422,cilindros3,(km/h)182,"Urbano (l/100 km)4,00","Carretera (l/100 km)3,10","Medio (l/100 km)3,40",CO2 (g/km)104
46,FORD,Ka,1.20 Auto-S&S Urban,FORD Ka 1.20 Auto-S&S Urban,2014,Málaga,04/2014,Rojo,69,Manual,Berlina,31.193 km,Gasolina,6.950 €,/coches-segunda-mano/ford-ka-ocasion/ka-1-20-auto-s-s-urban-ref7130637,Largo 3.620 mm,Ancho 1.658 mm,Alto 1.505 mm,(mm)2.300,(kg)1.320,puertas3,plazas4,(cm3)1.242,cilindros4,(km/h)159,"Urbano (l/100 km)6,30","Carretera (l/100 km)4,40","Medio (l/100 km)5,10",CO2 (g/km)115
47,FORD,Kuga,2.0TDCi Trend 4x2 140,FORD Kuga 2.0TDCi Trend 4x2 140,2014,Madrid,05/2014,Blanco,140,Manual,Todo Terreno,216.553 km,Diesel,11.900 €,/coches-segunda-mano/ford-kuga-ocasion/kuga-2-0tdci-trend-4x2-140-ref6903147,Largo 4.524 mm,Ancho 1.838 mm,Alto 1.689 mm,(mm)2.690,(kg)2.171,puertas5,plazas5,(cm3)1.997,cilindros4,(km/h)190,"Urbano (l/100 km)6,30","Carretera (l/100 km)4,70","Medio (l/100 km)5,30",CO2 (g/km)139
