,Maker,Model,Description,Name,Year,City,Year2,Color,Power,Motor,Chasis,Kilometers,Fuel,Price,Link,largo,ancho,alto,batalla,pesomax,numpuertas,numplazas,cilindrada,numcilindros,velmax,consurb,conscarr,consmed,emisiones
221,FORD,Focus,1.6TDCi Sport 115,FORD Focus 1.6TDCi Sport 115,2014,Valencia,06/2014,"Blanco
                     / Metalizado",115,Manual,Berlina,116.000 km,Diesel,10.900 €,/coches-segunda-mano/ford-focus-ocasion/focus-1-6tdci-sport-115-1-ref6605550,Largo 4.360 mm,Ancho 1.823 mm,Alto 1.484 mm,(mm)2.648,(kg)1.900,puertas5,plazas5,(cm3)1.560,cilindros4,(km/h)-,"Urbano (l/100 km)5,70","Carretera (l/100 km)3,70","Medio (l/100 km)4,50",CO2 (g/km)117
222,RENAULT,Talisman,S.T. 1.6dCi Energy Intens 96kW,RENAULT Talisman S.T. 1.6dCi Energy Intens 96kW,2017,Valencia,10/2017,Azul,130,Manual,Stationwagon,134.627 km,Diesel,13.900 €,/coches-segunda-mano/renault-talisman-ocasion/talisman-s-t-1-6dci-energy-intens-130-ref6982738,Largo 4.849 mm,Ancho 1.868 mm,Alto 1.456 mm,(mm)2.809,(kg)2.079,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)200,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,70","Medio (l/100 km)4,00",CO2 (g/km)106
223,CITROEN,C3,1.4HDi Attraction 70,CITROEN C3 1.4HDi Attraction 70,2014,Barcelona,05/2014,Gris,68,Manual,Berlina,52.742 km,Diesel,10.500 €,/coches-segunda-mano/citroen-c3-ocasion/c3-1-4hdi-attraction-70-ref7148358,Largo 3.941 mm,Ancho 1.728 mm,Alto 1.524 mm,(mm)2.466,(kg)1.581,puertas5,plazas5,(cm3)1.398,cilindros4,(km/h)163,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,40","Medio (l/100 km)3,80",CO2 (g/km)99
224,RENAULT,Talisman,S.T. 1.6dCi Energy Intens 96kW,RENAULT Talisman S.T. 1.6dCi Energy Intens 96kW,2017,Valencia,10/2017,Azul,130,Manual,Stationwagon,149.664 km,Diesel,14.200 €,/coches-segunda-mano/renault-talisman-ocasion/talisman-s-t-1-6dci-energy-intens-130-ref7141590,Largo 4.849 mm,Ancho 1.868 mm,Alto 1.456 mm,(mm)2.809,(kg)2.079,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)200,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,70","Medio (l/100 km)4,00",CO2 (g/km)106
225,VOLVO,V60,D3 Momentum Aut. 150,VOLVO V60 D3 Momentum Aut. 150,2017,Cádiz,01/2017,Blanco,150,Automático,Stationwagon,190.000 km,Diesel,15.990 €,/coches-segunda-mano/volvo-v60-ocasion/v60-d3-momentum-aut-150-ref7091982,Largo 4.635 mm,Ancho 1.865 mm,Alto 1.484 mm,(mm)2.776,(kg)2.200,puertas5,plazas5,(cm3)1.969,cilindros4,(km/h)210,"Urbano (l/100 km)4,90","Carretera (l/100 km)4,00","Medio (l/100 km)4,30",CO2 (g/km)114
226,RENAULT,Clio,TCe eco2 Energy Limited,RENAULT Clio TCe eco2 Energy Limited,2016,Málaga,06/2016,Gris,90,Manual,Berlina,104.895 km,Gasolina,10.299 €,/coches-segunda-mano/renault-clio-ocasion/clio-tce-eco2-energy-limited-ref7152122,Largo 4.062 mm,Ancho 1.732 mm,Alto 1.448 mm,(mm)2.589,(kg)1.588,puertas5,plazas5,(cm3)898,cilindros3,(km/h)182,"Urbano (l/100 km)5,60","Carretera (l/100 km)3,90","Medio (l/100 km)4,50",CO2 (g/km)105
227,DS,3,1.2 PureTech S&S Sport EAT6 110,DS DS3 1.2 PureTech S&S Sport EAT6 110,2016,Navarra,09/2016,Negro,110,Automático,Berlina,104.219 km,Gasolina,13.800 €,/coches-segunda-mano/ds-ds3-ocasion/ds3-1-2-puretech-s-s-sport-eat6-110-ref7121606,Largo 3.948 mm,Ancho 1.715 mm,Alto 1.458 mm,(mm)2.464,(kg)1.615,puertas3,plazas5,(cm3)1.199,cilindros3,(km/h)188,"Urbano (l/100 km)5,60","Carretera (l/100 km)3,90","Medio (l/100 km)4,60",CO2 (g/km)105
228,OPEL,Corsa,1.4 Design Line 90,OPEL Corsa 1.4 Design Line 90,2019,Vizcaya,03/2019,Gris,90,Manual,Berlina,15.743 km,Gasolina,12.950 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-design-line-90-ref7203482,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.615,puertas5,plazas5,(cm3)1.398,cilindros4,(km/h)175,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)132
229,FIAT,500,1.2 S,FIAT 500 1.2 S,2015,Vizcaya,06/2015,Blanco,69,Manual,Berlina,112.351 km,Gasolina,8.900 €,/coches-segunda-mano/fiat-500-ocasion/500-1-2-s-ref7116330,Largo 3.546 mm,Ancho 1.627 mm,Alto 1.488 mm,(mm)2.300,(kg)1.305,puertas3,plazas4,(cm3)1.242,cilindros4,(km/h)160,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)117
230,OPEL,Corsa,1.4 Color Edition 90,OPEL Corsa 1.4 Color Edition 90,2017,Navarra,11/2017,Gris,90,Manual,Berlina,90.054 km,Gasolina,10.950 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-color-edition-90-1-ref7125982,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.615,puertas5,plazas5,(cm3)1.398,cilindros4,(km/h)175,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)120
